voterID,voteTime,pollID,"Lincoln Chafee","Vermin Supreme","Jo Jorgensen ","Dan Behrman","Sam Robb","John McAfee","Mark Whitney","Arvin Vohra","Max Abramson","Ken Armstrong ","Keenan Dunham","John Monds","Erik Gerhardt","Souraya Fass","Jedi Hill","Ben Leder","Jacob Hornberger","James Ogle","Sorinne Ardeleanu"
nd5y27rxaw,"2020-02-13 08:40:39",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceyzrmdfaw,"2020-02-13 08:41:08",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
62m1dy1y9f,"2020-02-13 08:41:46",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n2pttt21m6,"2020-02-13 08:41:48",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wh7w2eeyrz,"2020-02-13 08:41:57",9xrw9wch,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
m9z74h6c7s,"2020-02-13 08:42:34",9xrw9wch,0,4,2,3,1,2,0,2,1,2,0,0,0,0,0,0,5,0,0
5ht9af3nsd,"2020-02-13 08:42:47",9xrw9wch,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec5tkcw5a7,"2020-02-13 08:42:47",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ztxrm4dcww,"2020-02-13 08:42:47",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wh6wyse6ts,"2020-02-13 08:43:44",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4s3wfz1hfn,"2020-02-13 08:45:09",9xrw9wch,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25h1frc216,"2020-02-13 08:45:28",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spdek3993e,"2020-02-13 08:46:32",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enkrw6mx25,"2020-02-13 08:47:29",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xn2sc5dhs6,"2020-02-13 08:47:38",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e36sne124d,"2020-02-13 08:47:59",9xrw9wch,0,5,0,4,0,4,0,3,0,0,0,0,0,0,0,0,4,0,0
5x6atsynwy,"2020-02-13 08:48:32",9xrw9wch,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tzkwa66ah2,"2020-02-13 08:49:00",9xrw9wch,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
zs1ah3yhy5,"2020-02-13 08:50:55",9xrw9wch,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aktfk9fzm4,"2020-02-13 08:51:08",9xrw9wch,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
